#period	period time	calc time
406	1498	1503
407	1506	991
408	1239	1250
409	1499	1000
410	1251	1498
411	1746	1257
412	1501	1250
413	1748	1255
414	1500	1507
415	1508	988
416	1236	1251
417	1749	1250
418	1498	1249
419	1499	1249
420	1499	1257
421	1500	1248
422	1498	1249
423	1498	1249
424	1498	1503
425	1506	992
426	1241	1249
427	1749	1249
428	1499	1500
429	1749	1254
430	1749	1249
431	1498	1250
432	1499	1250
433	1498	1250
434	1499	1250
435	1499	1250
436	1500	1507
437	1512	1236
438	1484	1250
439	1498	1250
440	1499	1249
441	1498	1251
442	1499	1249
443	1498	1249
444	1749	1249
445	1749	1254
446	1499	1499
447	1748	1249
448	1748	1251
449	1499	1250
450	1749	1249
451	1747	1268
452	1501	1248
453	1498	1250
454	1499	1246
455	1499	1503
456	1506	1242
457	1491	1245
458	1499	1249
459	1499	1245
460	1498	1255
461	1500	1249
462	1498	1252
463	1746	1254
464	1752	1249
465	1498	1250
466	1499	1254
467	1505	1245
468	1492	1249
469	1498	1250
470	1749	1249
471	1748	1252
472	1499	1252
473	1499	1250
474	1499	1249
475	1749	1254
476	1749	1249
477	1498	1249
478	1499	1249
479	1499	1249
480	1499	1249
481	1498	1249
482	1747	1256
483	1751	1249
484	1498	1249
485	1498	999
486	1249	1249
487	1499	1001
488	1499	1251
489	1750	1248
490	1498	1248
491	1499	1255
492	1499	1249
493	1494	1256
494	1260	1245
495	1248	993
496	1492	1249
497	1499	1249
498	1494	1267
499	1273	981
500	1230	1250
501	1499	1248
502	1498	1248
503	1748	1262
504	1500	999
505	1250	1248
506	1498	1249
507	1498	1249
508	1498	1250
509	1750	1248
510	1745	1252
511	1499	1252
512	1502	1253
513	1256	992
514	1241	1257
515	1750	1248
516	1497	1249
517	1498	1245
518	1499	999
519	1498	1249
520	1499	999
521	1248	1249
522	1499	1249
523	1748	1249
524	1504	996
525	1246	1248
526	1497	1248
527	1498	1249
528	1499	1249
529	1748	1250
530	1499	995
531	1251	1252
532	1256	990
533	1242	1248
534	1497	999
535	1249	1498
536	1747	1503
537	1509	1239
538	1738	1249
539	1499	999
540	1248	1259
541	1264	1236
542	1484	1502
543	1506	1247
544	1492	1249
545	1499	1248
546	1498	1000
547	1248	1263
548	1268	1487
549	1490	1240
550	1490	1248
551	1498	998
552	1248	750
553	1250	1248
554	1498	1000
555	1248	1250
556	1499	1249
557	1749	1255
558	1499	1249
559	1499	1249
560	1498	1000
561	1245	753
562	1253	1249
563	1499	1002
564	1498	1258
565	1501	1001
566	1247	1252
567	1499	1249
568	1499	1000
569	1249	1250
570	1500	1248
571	1494	1252
572	1498	1003
573	1252	1249
574	1250	997
575	1248	1249
576	1498	1000
577	1248	1498
578	1750	1249
579	1498	1250
580	1498	1245
581	1498	1258
582	1501	1249
583	1498	1247
584	1750	1247
585	1499	1248
586	1498	1248
587	1497	999
588	1249	1000
589	1251	1248
590	1498	1000
591	1503	1246
592	1495	999
593	1498	1249
594	1500	998
595	1748	1249
596	1499	998
597	1247	1508
598	1753	1245
599	1495	1256
600	1502	1249
601	1500	1248
602	1499	1249
603	1497	1250
604	1748	1270
605	1497	999
606	1498	1263
607	1500	999
608	1498	1255
609	1499	1256
610	1498	1500
611	1753	1246
612	1499	1246
613	1499	1246
614	1499	1245
615	1500	1497
616	1500	1242
617	1741	1254
618	1499	1253
619	1498	1253
620	1498	1254
621	1499	1254
622	1498	1506
623	1510	1492
624	1495	991
625	1490	1270
626	1500	1257
627	1500	1266
628	1499	1264
629	1498	1252
630	1498	1500
631	1746	1252
632	1501	1249
633	1495	1257
634	1261	991
635	1490	1249
636	1499	1499
637	1745	1253
638	1499	757
639	1252	1248
640	1498	1245
641	1499	1249
642	1499	1249
643	1499	1501
644	1502	995
645	1245	757
646	1249	1249
647	1498	1250
648	1499	1249
649	1500	1502
650	1506	1242
651	1491	1250
652	1499	1250
653	1498	1248
654	1499	1255
655	1500	1249
656	1498	1248
657	1499	1498
658	1748	1249
659	1498	999
660	1249	1248
661	1497	1258
662	1501	1248
663	1498	1249
664	1748	1249
